StatArea,CF_MgmtDist,SF_MgmtArea,Subarea
496030,CISW,CI,Cook Inlet
496100,CISW,CI,Cook Inlet
506030,CISW,CI,Cook Inlet
506100,CISW,CI,Cook Inlet
515907,CISW,CI,Cook Inlet
515936,CISW,CI,Cook Inlet
515937,CISW,CI,Cook Inlet
515938,CISW,CI,Cook Inlet
515939,CISW,CI,Cook Inlet
516001,CISW,CI,Cook Inlet
516001,CISW,CI,Cook Inlet
516002,CISW,CI,Cook Inlet
535801,CISW,CI,Cook Inlet
516030,CISW,CI,Cook Inlet
516100,CISW,CI,Cook Inlet
525901,CISW,CI,Cook Inlet
525902,CISW,CI,Cook Inlet
525931,CISW,CI,Cook Inlet
525932,CISW,CI,Cook Inlet
526002,CISW,CI,Cook Inlet
526003,CISW,CI,Cook Inlet
526030,CISW,CI,Cook Inlet
535833,CISW,CI,Cook Inlet
535901,CISW,CI,Cook Inlet
535902,CISW,CI,Cook Inlet
535903,CISW,CI,Cook Inlet
535904,CISW,CI,Cook Inlet
535904,CISW,CI,Cook Inlet
535905,CISW,CI,Cook Inlet
535905,CISW,CI,Cook Inlet
535906,CISW,CI,Cook Inlet
535931,CISW,CI,Cook Inlet
535932,CISW,CI,Cook Inlet
535932,CISW,CI,Cook Inlet
535933,CISW,CI,Cook Inlet
535933,CISW,CI,Cook Inlet
545900,CISW,CI,Cook Inlet
545900,CISW,CI,Cook Inlet
505832,CISW,CI,Cook Inlet
515831,NGSW,CI,Cook Inlet Outer Coast
515832,NGSW,CI,Cook Inlet Outer Coast
515833,NGSW,CI,Cook Inlet Outer Coast
515901,NGSW,CI,Cook Inlet Outer Coast
515902,NGSW,CI,Cook Inlet Outer Coast
515903,NGSW,CI,Cook Inlet Outer Coast
515904,NGSW,CI,Cook Inlet Outer Coast
515905,NGSW,CI,Cook Inlet Outer Coast
515906,NGSW,CI,Cook Inlet Outer Coast
525831,NGSW,CI,Cook Inlet Outer Coast
525832,NGSW,CI,Cook Inlet Outer Coast
525833,NGSW,CI,Cook Inlet Outer Coast
